Company Name,Industry,Symbol,Series,ISIN Code,Tier
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,2
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,2
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,2
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,2
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,2
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,2
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,2
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,2
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,2
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,2
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,2
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,2
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,2
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,2
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,2
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,2
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,2
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,2
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,2
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,2
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,2
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,2
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,2
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,2
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,2
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,2
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,2
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,2
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,2
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,2
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,2
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027,2
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,2
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,2
